CASEID,YEAR,STATEFIP,EMPSTAT,PED,SED_EAT,ANYSECDRK,ANYSECEAT,ACTIVITY,DURATION,SED_EAT_LN,START
20060111051381,2006,26,1,30,11,1,1,50101,5,0,7:00:00
20060111051386,2006,26,1,60,0,2,2,50101,435,0,8:45:00
20060111051397,2006,26,1,55,255,1,1,50101,150,0,9:05:00
20060111051397,2006,26,1,55,255,1,1,50101,140,0,11:40:00
20060111051397,2006,26,1,55,255,1,1,50101,200,0,14:40:00
20060111051430,2006,28,1,150,10,1,1,50101,380,10,9:40:00
20060111051445,2006,29,1,65,0,2,2,50101,1,0,6:15:00
20060111051445,2006,29,1,65,0,2,2,50101,34,0,8:11:00
20060111051445,2006,29,1,65,0,2,2,50101,45,0,8:45:00
20060111051445,2006,29,1,65,0,2,2,50101,105,0,9:30:00
20060111051445,2006,29,1,65,0,2,2,50101,180,0,11:45:00
20060111051445,2006,29,1,65,0,2,2,50101,315,0,15:00:00
20060111051445,2006,29,1,65,0,2,2,50101,30,0,20:15:00
20060111051472,2006,29,1,90,40,1,1,50101,475,30,9:05:00
20060111051489,2006,30,1,65,0,2,2,50101,287,0,7:13:00
20060111051489,2006,30,1,65,0,2,2,50101,300,0,12:30:00
