CASEID,YEAR,FIPS,SED_EAT_TOTAL,SED_WORKING_TOTAL,PRIME_EAT
20060201062390,2006,8,240,20,240
20060201062397,2006,9,50,10,40
20060201062403,2006,9,80,20,120
20060201062404,2006,9,60,0,100
20060201062412,2006,11,15,5,135
20060201062417,2006,15,2,1,130
20060201062425,2006,19,0,0,60
20060201062430,2006,19,20,10,60
20060201062438,2006,21,10,10,10
20060201062451,2006,24,30,15,180
20060201062456,2006,24,45,0,135
20060201062461,2006,24,5,0,35
20060201062472,2006,27,0,0,120
20060201062476,2006,27,0,0,480
20060201062478,2006,27,15,0,55
20060201062481,2006,27,45,15,140
20060201062490,2006,27,75,15,75
20060201062496,2006,29,60,0,60
20060201062510,2006,33,0,0,100
20060201062514,2006,38,0,0,495
20060201062520,2006,40,15,0,16
20060201062526,2006,41,25,5,425
20060201062531,2006,44,0,0,600
20060201062535,2006,45,0,0,90
20060201062540,2006,45,14,5,80
20060201062541,2006,45,0,0,160
20060201062543,2006,45,0,0,180
